order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
311,barista,7624.93,0.00,110.94,24.60,0.00
312,barista,7661.71,0.00,84.01,605.09,0.00
313,waiter,7662.83,0.00,27.30,37.90,0.00
314,waiter,7671.67,0.00,7.38,844.38,0.00
315,barista,7679.05,0.00,39.26,583.07,0.00
316,barista,7690.13,0.00,29.23,2139.45,0.00
317,waiter,7784.40,0.00,4.28,94.27,0.00
318,barista,7788.68,0.00,51.44,52.81,0.00
319,waiter,7822.67,0.00,12.51,33.99,0.00
320,waiter,7827.75,0.00,149.85,148.70,0.00
321,barista,7835.19,0.00,43.95,89.47,0.00
322,waiter,7886.10,0.00,96.73,50.92,0.00
323,waiter,7949.17,0.00,27.44,2116.62,0.00
324,waiter,7961.69,0.00,9.08,5551.73,0.00
325,barista,7970.77,0.00,130.32,130.65,0.00
326,barista,7976.61,0.00,53.80,97.47,0.00
327,barista,7977.60,0.00,100.28,259.29,0.00
328,barista,7982.84,0.00,1.39,263.47,0.00
329,barista,8039.89,0.00,5.68,9.48,0.00
330,waiter,8059.78,0.00,6.01,76.94,0.00
331,barista,8064.73,0.00,190.17,19.17,0.00
332,barista,8065.78,0.00,27.86,81.56,0.00
333,waiter,8137.75,0.00,47.06,71.97,0.00
334,waiter,8150.07,0.00,135.54,172.46,0.00
335,barista,8158.28,0.00,5.62,57.19,0.00
336,barista,8184.82,0.00,36.04,20.92,0.00
337,waiter,8239.40,0.00,5.98,54.58,0.00
338,barista,8245.38,0.00,79.41,24.52,0.00
339,barista,8285.61,0.00,64.64,30.71,0.00
340,barista,8286.11,0.00,213.27,208.23,0.00
341,waiter,8321.47,0.00,25.66,76.09,0.00
342,waiter,8341.22,0.00,91.09,55.61,0.00
343,barista,8347.12,0.00,43.34,22.33,0.00
344,barista,8432.31,0.00,25.97,41.85,0.00
345,waiter,8463.77,0.00,0.81,116.65,0.00
346,barista,8464.59,0.00,10.31,6.31,0.00
347,barista,8464.66,0.00,38.98,114.42,0.00
348,barista,8522.34,0.00,46.24,47.44,0.00
349,waiter,8726.24,0.00,29.90,261.65,0.00
350,waiter,8744.39,0.00,175.45,312.08,0.00
351,barista,8748.41,0.00,65.30,179.84,0.00
352,barista,8756.14,0.00,26.22,252.51,0.00
353,waiter,8804.89,0.00,71.35,48.75,0.00
354,waiter,8843.93,0.00,10.04,867.32,0.00
355,barista,8849.65,0.00,142.59,35.94,0.00
356,barista,8853.97,0.00,90.91,71.61,0.00
357,barista,8876.24,0.00,34.33,376.86,0.00
358,waiter,8887.68,0.00,37.43,11.44,0.00
359,waiter,8904.73,0.00,42.91,50.77,0.00
360,barista,8919.83,0.00,7.66,9.27,0.00
361,barista,8925.11,0.00,27.95,831.47,0.00
362,barista,8947.65,0.00,49.03,2.77,0.00
363,waiter,8975.78,0.00,205.03,50.67,0.00
364,barista,8998.71,0.00,7.46,6.47,0.00
365,barista,9016.06,0.00,191.55,9.89,0.00
366,barista,9035.91,0.00,41.51,39.23,0.00
367,barista,9067.59,0.00,15.74,140.10,0.00
368,waiter,9110.19,0.00,6.29,190.36,0.00
369,barista,9116.48,0.00,21.20,39.06,0.00
370,barista,9180.81,0.00,139.19,43.13,0.00
371,waiter,9226.38,0.00,25.57,45.57,0.00
372,barista,9232.97,0.00,131.83,25.36,0.00
373,barista,9251.96,0.00,27.34,168.63,0.00
374,barista,9258.28,0.00,105.71,305.22,0.00
375,waiter,9278.59,0.00,84.93,26.64,0.00
376,barista,9363.52,0.00,29.38,43.52,0.00
377,waiter,9425.87,0.00,62.24,62.34,0.00
378,barista,9488.10,0.00,61.55,123.31,0.00
379,barista,9678.12,0.00,19.07,128.47,0.00
380,waiter,9685.73,0.00,1.40,197.63,0.00
381,barista,9687.13,0.00,80.28,294.23,0.00
382,waiter,9732.31,0.00,134.96,45.18,0.00
383,barista,9749.56,0.00,62.13,52.37,0.00
384,barista,9791.42,0.00,47.05,24.01,0.00
385,waiter,9811.49,0.00,105.14,695.01,0.00
386,barista,9867.28,0.00,48.78,55.59,0.00
387,barista,9916.63,0.00,52.40,0.57,0.00
388,barista,9926.04,0.00,186.11,87.56,0.00
389,waiter,9960.23,0.00,80.13,92.95,0.00
390,waiter,10031.45,0.00,73.87,114.83,0.00
391,barista,10040.36,0.00,4.06,71.34,0.00
392,barista,10105.33,0.00,0.20,60.90,0.00
393,waiter,10112.03,0.00,3.03,71.67,0.00
394,barista,10115.06,0.00,49.85,9.53,0.00
395,barista,10162.66,0.00,39.93,50.52,0.00
396,barista,10168.21,0.00,7.83,3.30,0.00
397,barista,10180.91,0.00,54.20,4.87,0.00
398,waiter,10197.03,0.00,21.28,81.97,0.00
399,barista,10218.30,0.00,28.62,15.71,0.00
400,barista,10240.38,0.00,72.57,5.27,0.00
401,waiter,10249.30,0.00,5.72,30.99,0.00
402,barista,10255.02,0.00,71.60,8.09,0.00
403,waiter,10278.20,0.00,5.53,23.18,0.00
404,barista,10283.73,0.00,95.87,1004.43,0.00
405,waiter,10301.41,0.00,1.85,17.68,0.00
406,barista,10303.26,0.00,23.25,939.27,0.00
407,waiter,10336.45,0.00,14.01,33.19,0.00
408,barista,10350.46,0.00,30.49,37.52,0.00
409,waiter,10384.84,0.00,149.82,34.37,0.00
410,waiter,10433.88,0.00,2.70,328.56,0.00
411,barista,10436.58,0.00,235.48,55.63,0.00
412,barista,10453.58,0.00,15.35,126.96,0.00
413,barista,10481.23,0.00,24.80,12.30,0.00
414,barista,10534.66,0.00,98.19,28.62,0.00
415,waiter,10544.44,0.00,37.97,9.79,0.00
416,barista,10582.42,0.00,6.17,202.82,0.00
